,Chart_Date,value,key
,7/10/2020,0.32725,q1_val
,7/11/2020,0.34775,q1_val
,7/12/2020,0.34375,q1_val
,7/13/2020,0.32175,q1_val
,7/14/2020,0.321,q1_val
,7/15/2020,0.322,q1_val
,7/16/2020,0.32175,q1_val
,7/17/2020,0.32575,q1_val
,7/18/2020,0.33925,q1_val
,7/19/2020,0.32725,q1_val
,7/20/2020,0.32025,q1_val
,7/21/2020,0.322,q1_val
,7/22/2020,0.32175,q1_val
,7/23/2020,0.321,q1_val
,7/24/2020,0.30625,q1_val
,7/25/2020,0.31875,q1_val
,7/26/2020,0.318,q1_val
,7/27/2020,0.28675,q1_val
,7/28/2020,0.29,q1_val
,7/29/2020,0.29,q1_val
,7/30/2020,0.29,q1_val
,7/31/2020,0.274,q1_val
,8/1/2020,0.2785,q1_val
,8/2/2020,0.274,q1_val
,8/3/2020,0.2785,q1_val
,8/4/2020,0.283,q1_val
,8/5/2020,0.283,q1_val
,8/6/2020,0.283,q1_val
,8/7/2020,0.29,q1_val
,8/8/2020,0.29625,q1_val
,8/9/2020,0.29,q1_val
,8/10/2020,0.2855,q1_val
,8/11/2020,0.28675,q1_val
,8/12/2020,0.28675,q1_val
,8/13/2020,0.28675,q1_val
,8/14/2020,0.28675,q1_val
,8/15/2020,0.28675,q1_val
,8/16/2020,0.283,q1_val
,8/17/2020,0.283,q1_val
,8/18/2020,0.283,q1_val
,8/19/2020,0.283,q1_val
,8/20/2020,0.283,q1_val
,8/21/2020,0.2855,q1_val
,8/22/2020,0.2855,q1_val
,8/23/2020,0.2855,q1_val
,8/24/2020,0.283,q1_val
,8/25/2020,0.2785,q1_val
,8/26/2020,0.2785,q1_val
,8/27/2020,0.2785,q1_val
,8/28/2020,0.2785,q1_val
,8/29/2020,0.2785,q1_val
,8/30/2020,0.2785,q1_val
,8/31/2020,0.283,q1_val
,9/1/2019,0.29025,q1_val
,9/1/2020,0.2855,q1_val
,9/2/2019,0.313,q1_val
,9/3/2019,0.313,q1_val
,9/4/2019,0.313,q1_val
,9/5/2019,0.32525,q1_val
,9/6/2019,0.313,q1_val
,9/7/2019,0.329,q1_val
